eventid,year,imonth,extended,country,country_txt,region,region_txt,city,summary,success,suicide,attacktype1,attacktype1_txt,nperps,weaptype1,weaptype1_txt,weapdetail,nkill,nwound
197110060001,1971,10,0,161,Poland,9,Eastern Europe,Opole,"10/06/1971: A TNT bomb planted by two anti-communist extremists--brothers Jerzy and Ryszard Kowalczyk--exploded in the assembly hall at the University of Opole in Opole, Poland. The explosion took place at 12:40 a.m., and a gathering of police officers was scheduled to take place in the assembly hall the following day. There were no casualities; however, the building was badly damaged. Both perpetrators were later captured, convicted, and imprisoned for their roles in the attack.",1,0,3,Bombing/Explosion,2,6,Explosives,TNT fired by electrical wires,0,0
197301070003,1973,1,0,217,United States,1,North America,New Orleans,"1/7/1973:  Mark Essex, a Black Revolutionary, broke into the Downtown Howard Johnson Hotel in New Orleans, Louisiana in the United States.  He proceeded to shoot and kill Robert and Elizabeth Steagall, a White couple staying in the hotel.  Essex then doused a telephone book with lighter fluid and set the Steagalls' room on fire.  Noticing the commotion, Essex was approached by Frank Schneider and Sherwood Collins, the assistant manager and general manager of the hotel respectively.  Essex shot and killed both managers in two separate incidents.  Essex then lit more hotel rooms on fire.  At this point, Essex began shooting at the policemen and firemen that approached the hotel.  He shot and killed Deputy Super Intendent Louis Sirgo, Patrolman Pail Persigo and Patrolman Philip J. Coleman Sr.  Twenty  others were wounded as well.  Finally, the police were able to force Essex to the roof of the building.  The incident did not end until Essex was shot and killed by sharpshooters positioned in a military helicopter hovering above the hotel.",1,0,2,Armed Assault,1,5,Firearms,Ruger .44 caliber magnum semi-automatic carbine rifle,8,20
197301180003,1973,1,0,217,United States,1,North America,Washington,"01/18/1973: Suspected Black Muslims murdered seven people (two adults and five children) and wounded two other adults through a combination of binding, gagging, drowning, and shooting in Washington, D.C. in the United States.  The targets were Khalifa Hamaas Abdul Khaalis and his family members. Khalifa Hamaas Abdul Khaalis was a Hanafi Muslim leader who, according to the Hanafi, accused Black Muslim leader Elijah Muhammad of teaching false doctrines about Islam.",1,0,2,Armed Assault,7,5,Firearms,"a total of 2 adults and 5 children were killed by a combination of ""binding, gagging, shooting, and drowning.""",7,2
197705230004,1977,5,1,142,Netherlands,8,Western Europe,Tynaarlo,"5/23/1977-6/11/1977:  A group of 8-10 South Moluccan gunmen seized control of a train 10 miles north of the town of Bovensmilde in North Holland, Netherlands.  This attack was coordinated with another attack on an elementary school (GTD case 197705230005).  The South Moluccans demanded that 21 of their compatriots be released from Dutch prisons.  On May 25th, 3 of the hostages were released.  On May 26th, another hostage was released.  On June 5th, two pregnant women were released.  June 8th, a hostage was released when he had a minor heart attack.  Finally, on June 11th, government forces stormed both locations.  During the rescue operation 6 gunmen and two hostages were killed.",1,0,2,Armed Assault,8,5,Firearms,No additional information available.,8,0
197705230005,1977,5,1,142,Netherlands,8,Western Europe,Bovensmilde,"5/23/1977-6/11/1977:  A group of 4-6 South Moluccan gunmen seized control of an elementary school in the town of Bovensmilde in North Holland, Netherlands.  105 children and five teachers were taken hostage.  The attack was coordinated with a simultaneous attack on a train (GTD case 197705230004).  The South Moluccans demanded the release of 21 of their compatriots from Dutch jails.  On May 26th, four of the children were released because they were sick.  The next day the rest of the children were released because many of them appeared to be suffering from an illness similar to meningitis.  On June 11, government forces simultaneously stormed the school and the train.  No deaths were reported from the school.",1,0,2,Armed Assault,4,5,Firearms,No additional information available.,0,0
198105300001,1981,5,0,19,Bangladesh,6,South Asia,Chittagong,"05/30/1981: President Ziaur Rahman of Bangledesh was attending a two hour political meeting to help resolve an intra-party dispute at a Circuit House in Chittagong. At 3:30AM the President was awoken by two rebel Army strike teams who freely entered the Chittagong Circuit House. The forty-four policemen on duty offered no resistence when the first team fired two shots, killing one constable and four of Ziar�s defenders, and accidentally wounding two of their own men. When inside, Lt-Col Matiur Rahman [Mahbubur], a Freedom Fighter, shot and killed General Ziaur.",1,0,1,Assassination,1,5,Firearms,A Sub-machine gun and hand rocket launcher were used.,6,2
198803140014,1988,3,0,186,Sri Lanka,6,South Asia,Trincomalee district,"03/14/1988:  Members of the Liberation Tigers of Tamil Eelam (LTTE) dressed in military uniforms attacked villagers in Galmitiyawa, Sri Lanka.  Fourteen people were killed in total.  Soldiers nearby heard the shooting and entered the village.  When the soldiers were spotted, the rebels fled.",1,0,2,Armed Assault,15,5,Firearms,Most of the villagers were shot but three women were locked in a house that was set on fire.,14,0
198804080008,1988,4,0,186,Sri Lanka,6,South Asia,Horowupatana,"04/08/1988:  Suspected members of Liberation Tigers of Tamil Eelam (LTTE) killed 14 Sinhalese in Meegaswewa, Sri Lanka.  At least 25 rebels dressed in military clothing ambushed several vehicles and bicycles on a country road.  They then killed the 14 victims with guns and machetes, beheading four of the victims.",1,0,2,Armed Assault,25,5,Firearms,Civilians were shot and several were beheaded with machetes,14,0
198912060011,1989,12,0,38,Canada,1,North America,Montreal,"12/06/1989: At 4:30 p.m. an assailant armed with a semi-automatic rifle and a hunting knife shot 28 people at the Ecole Polytechnique engineering school in Montreal, Quebec, Canada. The perpetrator was identified as Marc Lepine, who claimed he was 'fighting feminism.'  The attack lasted approximately 20 minutes, during which Lepine killed 14 women and injured 14 other people before killing himself.",1,1,2,Armed Assault,1,5,Firearms,".223-caliber Sturm Ruger and a hunting knife, two boxes of bullets and a 30-round magazine",15,14
199003080012,1990,8,0,186,Sri Lanka,6,South Asia,Kattankudy,"08/03/1990:  Suspected members of the Liberation Tigers of Tamil Eelam (LTTE) killed at least 112 Muslim worshippers and wounded an additional 75 worshippers at two mosques in the vicinity of Kathankudy, Sri Lanka.  30 rebels crossed a lagoon near the city, split into two groups and raided Meera Juma mosque and Thaik mosque with machine guns and grenades.  The rebels opened fire with machine guns and also lobbed hand grenades inside the mosques.  Although the LTTE denies responsibility, a note was left at the scene crediting them with the incident.",1,0,2,Armed Assault,30,5,Firearms,The worshippers were sprayed with machine gun fire and several hand grenades were lobbed into the mosques,112,75
199104030017,1991,4,0,186,Sri Lanka,6,South Asia,Trincomalee,"04/03/1991:  Members of the Liberation Tigers of Tamil Eelam (LTTE) killed at least 11 fishermen and injured at least nine more near Trincomalee harbour, Sri Lanka.  The rebels attacked in the early morning while the 50 or so fishermen were out on an early fishing expedition.  There were approximately five rebels in total in a boat fitted with machine guns.  At least 15 fishermen were rescued by the navy but at least 12 fishermen are still missing.  All of the victims were part of a majority Sinhalese community.",1,0,2,Armed Assault,5,5,Firearms,The rebels were in a boat fitted with machine guns,11,9
199105050006,1991,5,0,186,Sri Lanka,6,South Asia,Point Pedro,"05/05/1991:  Approximately six members of the Liberation Tigers of Tamil Eelam (LTTE) rammed a small boat filled with explosives into a navy vessel anchored off of Point Pedro, Sri Lanka.  Five soldiers were killed, and at least five were injured.  All members of the LTTE were killed.  A large hole was blasted in the side of the navy vessel.",1,1,3,Bombing/Explosion,6,6,Explosives,"The rebels rammed with ship in a boat ""loaded with explosives""",11,5
199411130007,1994,11,0,6,Algeria,10,Middle East & North Africa,Algiers,"11/13/1994: Three Algerians, armed with knives and a coffee grinder disguised as a bomb, hijacked an Air Algerie flight travelling from Algiers to Ouargla, Algeria.  The hijackers forced the pilots to divert the airplane to Palma de Mallorca, Spain.  The perpetrators threatened to blow up the airplane if their demands  were not met.  These demands included the release of political prisoners, the resumption of the cancelled 1991 Algerian elections, as well as being granted asylum in Spain.  Following an eight hour standoff, the assailants released the forty-two hostages aboard the airplane unharmed and turned themselves in to Spanish authorities.  The hijackers were identified as Merzak Benachour, Madjid Arab and Mohammed Nedjar.  All three individuals proclaimed to be part of the Union of Peaceful Citizens of Algeria.",1,0,4,Hijacking,3,9,Melee,Knives; fake bomb that was actually a coffee grinder,0,0
199511240007,1995,11,0,186,Sri Lanka,6,South Asia,Colombo,"11/24/1995:  Two female cadres of the Liberation Tigers of Tamil Eelam (LTTE) detonated at the Sri Lanka Army Headquarters in Colombo, Sri Lanka.  16 civilians were killed and more than 50 were injured in the explosion.",1,1,3,Bombing/Explosion,2,6,Explosives,Two suicide bombers,18,50
